# hypho_ge_1k_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.species.p15.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
all	None	4,758	100.0%	60,978,586	100.0%	35,572	0.49	0.021	705.7	1010.8	389,170,652	93.0%
no-hit	#d3d3d3	4,472	100.0%	44,726,153	100.0%	24,331	0.49	0.02	694.3	934.3	286,297,083	68.4%
Phytophthora infestans	#c32a4b	20	100.0%	1,448,762	100.0%	128,902	0.49	0.039	1126.1	2155.2	9,267,791	2.2%
Oryza sativa	#df4e4b	11	100.0%	1,080,087	100.0%	129,163	0.5	0.0065	607.7	34.8	6,715,095	1.6%
Albugo laibachii	#f46d43	11	100.0%	689,415	100.0%	140,381	0.5	0.0045	598.8	106.8	4,396,602	1.1%
Symbiodinium kawagutii	#fa9857	2	100.0%	489,346	100.0%	461,740	0.5	0.0073	532.1	47.2	2,481,492	0.6%
Aspergillus niger	#fdbf6f	3	100.0%	397,020	100.0%	390,274	0.5	0.0015	518.6	84.5	2,589,502	0.6%
Jaculus jaculus	#fee08b	3	100.0%	304,335	100.0%	165,553	0.49	0.0019	615.6	9.0	1,931,276	0.5%
Thalassiosira pseudonana	#fff5ae	3	100.0%	288,602	100.0%	232,451	0.49	0.0056	621.2	82.8	1,732,249	0.4%
Citrus sinensis	#f7fcb2	1	100.0%	275,360	100.0%	275,360	0.47	0.0	357.0	0.0	1,000,539	0.2%
Phaeodactylum tricornutum	#e6f598	2	100.0%	267,881	100.0%	237,285	0.5	0.0048	591.0	12.4	1,596,410	0.4%
Homo sapiens	#bfe5a0	8	100.0%	264,551	100.0%	34,847	0.5	0.011	636.6	157.7	1,920,147	0.5%
Phytophthora capsici	#94d4a4	5	100.0%	259,131	100.0%	150,103	0.5	0.0045	600.2	50.9	1,647,208	0.4%
Lepadella patella	#66c2a5	1	100.0%	254,883	100.0%	254,883	0.47	0.0	349.7	0.0	907,018	0.2%
Drosophila melanogaster	#439bb5	6	100.0%	252,961	100.0%	80,401	0.49	0.01	720.7	286.9	1,784,659	0.4%
Neospora caninum	#4175b4	1	100.0%	250,654	100.0%	250,654	0.49	0.0	583.0	0.0	1,499,352	0.4%
other	#ffffff	209	100.0%	9,729,445	100.0%	82,726	0.49	0.036	936.3	2014.4	63,404,229	15.2%
Salpingoeca rosetta	None	1	100.0%	47,644	100.0%	47,644	0.5	0.0	659.4	0.0	323,174	0.1%
Salmo salar	None	3	100.0%	83,753	100.0%	27,681	0.49	0.0068	538.6	62.8	481,905	0.1%
Karenia brevis	None	1	100.0%	24,646	100.0%	24,646	0.5	0.0	649.7	0.0	167,244	0.0%
Trichoderma reesei	None	1	100.0%	6,270	100.0%	6,270	0.48	0.0	579.0	0.0	38,555	0.0%
Branchiostoma floridae	None	1	100.0%	47,744	100.0%	47,744	0.49	0.0	617.0	0.0	305,501	0.1%
Solanum lycopersicum	None	1	100.0%	52,888	100.0%	52,888	0.5	0.0	625.2	0.0	344,552	0.1%
Echinops telfairi	None	1	100.0%	35,678	100.0%	35,678	0.51	0.0	613.6	0.0	227,698	0.1%
Oryzias latipes	None	2	100.0%	187,242	100.0%	174,560	0.49	0.0065	519.9	67.9	1,112,196	0.3%
Xenopus laevis	None	1	100.0%	42,315	100.0%	42,315	0.5	0.0	599.1	0.0	262,201	0.1%
Myotis lucifugus	None	2	100.0%	86,317	100.0%	60,599	0.51	0.014	621.1	4.4	555,858	0.1%
Synura petersenii	None	1	100.0%	3,079	100.0%	3,079	0.28	0.0	6675.9	0.0	211,178	0.1%
Leishmania braziliensis	None	3	100.0%	174,156	100.0%	167,567	0.48	0.016	513.0	172.5	894,692	0.2%
Rhodothermus marinus	None	1	100.0%	113,491	100.0%	113,491	0.5	0.0	595.1	0.0	694,517	0.2%
Dasypus novemcinctus	None	1	100.0%	11,873	100.0%	11,873	0.49	0.0	564.3	0.0	69,491	0.0%
Plasmodium falciparum	None	3	100.0%	69,941	100.0%	24,761	0.5	0.013	602.0	39.6	426,022	0.1%
Debaryomyces hansenii	None	1	100.0%	24,747	100.0%	24,747	0.49	0.0	564.9	0.0	143,600	0.0%
Neurospora crassa	None	1	100.0%	18,792	100.0%	18,792	0.48	0.0	535.7	0.0	106,369	0.0%
Eutrema salsugineum	None	1	100.0%	33,788	100.0%	33,788	0.5	0.0	601.4	0.0	208,235	0.0%
