# hypho_all_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.phylum.p7.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
all	None	53,358	100.0%	68,540,538	100.0%	29,190	0.49	0.053	594.0	1621.3	412,942,553	98.3%
no-hit	#d3d3d3	52,867	100.0%	52,256,882	100.0%	18,864	0.49	0.053	553.4	1341.3	308,162,651	73.4%
Eukaryota-undef	#e2514a	217	100.0%	3,973,499	100.0%	134,865	0.49	0.061	8398.3	9902.9	28,860,119	6.9%
Streptophyta	#fca55d	62	100.0%	3,528,958	100.0%	118,115	0.5	0.028	1027.5	4090.9	21,243,182	5.1%
Chordata	#fee999	66	100.0%	3,018,899	100.0%	91,421	0.5	0.012	617.3	111.9	18,967,564	4.5%
Ascomycota	#edf8a3	42	100.0%	1,730,401	100.0%	97,012	0.5	0.026	2035.2	5803.5	10,641,260	2.5%
Arthropoda	#a2d9a4	25	100.0%	1,445,349	100.0%	92,181	0.5	0.025	587.5	191.9	8,164,298	1.9%
Chlorophyta	#47a0b3	16	100.0%	509,471	100.0%	50,413	0.49	0.015	2387.4	7240.1	2,950,342	0.7%
other	#ffffff	63	100.0%	2,077,079	100.0%	113,491	0.49	0.045	5891.1	9215.6	13,953,137	3.3%
Glomeromycota	None	1	100.0%	103	100.0%	103	0.44	0.0	37596.2	0.0	53,678	0.0%
Actinobacteria	None	2	100.0%	17,835	100.0%	11,315	0.49	0.0007	573.5	26.5	104,348	0.0%
Bacillariophyta	None	4	100.0%	295,853	100.0%	232,451	0.5	0.0033	3130.7	4438.6	1,737,726	0.4%
Echinodermata	None	2	100.0%	60,472	100.0%	60,360	0.53	0.028	510.8	34.2	340,075	0.1%
undef	None	4	100.0%	410	100.0%	103	0.5	0.0055	9118.0	2123.7	77,476	0.0%
Apicomplexa	None	6	100.0%	355,925	100.0%	250,654	0.5	0.01	587.5	34.7	2,125,122	0.5%
Phaeophyceae	None	4	100.0%	2,406	100.0%	971	0.44	0.069	11266.2	10401.8	262,195	0.1%
Viruses-undef	None	1	100.0%	878	100.0%	878	0.43	0.0	707.2	0.0	6,822	0.0%
Deinococcus-Thermus	None	1	100.0%	94,841	100.0%	94,841	0.49	0.0	563.3	0.0	548,401	0.1%
Proteobacteria	None	10	100.0%	179,323	100.0%	95,019	0.51	0.035	4916.6	6691.7	1,117,398	0.3%
Acidobacteria	None	1	100.0%	87,429	100.0%	87,429	0.49	0.0	713.5	0.0	654,883	0.2%
Eustigmatophyceae	None	1	100.0%	126	100.0%	126	0.6	0.0	16386.0	0.0	21,742	0.0%
Firmicutes	None	1	100.0%	4,804	100.0%	4,804	0.47	0.0	1064.2	0.0	60,915	0.0%
Bacteria-undef	None	5	100.0%	33,018	100.0%	31,001	0.42	0.067	17975.9	9955.4	667,640	0.2%
Mollusca	None	3	100.0%	6,618	100.0%	6,406	0.52	0.023	8385.3	11278.7	61,827	0.0%
Basidiomycota	None	9	100.0%	209,219	100.0%	114,119	0.51	0.026	5027.9	9522.7	1,422,548	0.3%
Platyhelminthes	None	2	100.0%	43,849	100.0%	24,852	0.48	0.0002	539.8	1.5	246,573	0.1%
Annelida	None	1	100.0%	207,875	100.0%	207,875	0.49	0.0	600.2	0.0	1,277,960	0.3%
Nematoda	None	2	100.0%	147,708	100.0%	75,183	0.5	0.0087	606.2	55.3	916,599	0.2%
Bacteroidetes	None	2	100.0%	280,926	100.0%	167,435	0.49	0.0043	650.6	58.1	1,903,484	0.5%
Euryarchaeota	None	1	100.0%	47,461	100.0%	47,461	0.49	0.0	710.3	0.0	345,725	0.1%
