# hypho_all_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.species.p15.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
all	None	53,358	100.0%	68,540,538	100.0%	29,190	0.49	0.053	594.0	1621.3	412,942,553	98.3%
no-hit	#d3d3d3	52,867	100.0%	52,256,882	100.0%	18,864	0.49	0.053	553.4	1341.3	308,162,651	73.4%
Phytophthora infestans	#c32a4b	23	100.0%	1,449,086	100.0%	128,902	0.49	0.041	1636.1	3573.0	9,162,230	2.2%
Oryza sativa	#df4e4b	15	100.0%	1,081,311	100.0%	129,163	0.51	0.03	490.3	189.6	6,646,088	1.6%
Albugo laibachii	#f46d43	15	100.0%	689,833	100.0%	140,381	0.51	0.024	2739.8	6398.1	4,382,743	1.0%
Symbiodinium kawagutii	#fa9857	2	100.0%	489,346	100.0%	461,740	0.5	0.0073	523.6	45.4	2,438,852	0.6%
Aspergillus niger	#fdbf6f	4	100.0%	397,139	100.0%	390,274	0.5	0.0036	2931.3	4189.3	2,586,022	0.6%
Jaculus jaculus	#fee08b	3	100.0%	304,335	100.0%	165,553	0.49	0.0019	609.5	9.5	1,919,942	0.5%
Thalassiosira pseudonana	#fff5ae	3	100.0%	288,602	100.0%	232,451	0.49	0.0056	615.8	86.8	1,714,747	0.4%
Citrus sinensis	#f7fcb2	1	100.0%	275,360	100.0%	275,360	0.47	0.0	355.6	0.0	996,109	0.2%
Phaeodactylum tricornutum	#e6f598	2	100.0%	267,881	100.0%	237,285	0.5	0.0048	585.7	8.9	1,588,042	0.4%
Homo sapiens	#bfe5a0	9	100.0%	264,690	100.0%	34,847	0.5	0.018	607.4	147.0	1,878,541	0.4%
Phytophthora capsici	#94d4a4	5	100.0%	259,131	100.0%	150,103	0.5	0.0045	591.7	56.2	1,631,543	0.4%
Lepadella patella	#66c2a5	1	100.0%	254,883	100.0%	254,883	0.47	0.0	349.5	0.0	906,415	0.2%
Drosophila melanogaster	#439bb5	7	100.0%	253,085	100.0%	80,401	0.51	0.038	622.1	110.5	1,617,551	0.4%
Neospora caninum	#4175b4	1	100.0%	250,654	100.0%	250,654	0.49	0.0	578.4	0.0	1,486,114	0.4%
other	#ffffff	400	100.0%	9,758,320	100.0%	82,726	0.5	0.049	5796.6	9101.8	65,824,963	15.7%
Salpingoeca rosetta	None	1	100.0%	47,644	100.0%	47,644	0.5	0.0	653.8	0.0	319,873	0.1%
Salmo salar	None	3	100.0%	83,753	100.0%	27,681	0.49	0.0068	526.0	68.3	467,944	0.1%
Karenia brevis	None	1	100.0%	24,646	100.0%	24,646	0.5	0.0	628.9	0.0	161,258	0.0%
uncultured fungus	None	1	100.0%	101	100.0%	101	0.49	0.0	7159.5	0.0	7,538	0.0%
Trichoderma reesei	None	2	100.0%	6,404	100.0%	6,270	0.49	0.0091	366.2	209.3	38,428	0.0%
Branchiostoma floridae	None	1	100.0%	47,744	100.0%	47,744	0.49	0.0	590.7	0.0	289,412	0.1%
Nannochloropsis gaditana	None	3	100.0%	383	100.0%	126	0.59	0.012	7966.4	6197.3	32,259	0.0%
Solanum lycopersicum	None	1	100.0%	52,888	100.0%	52,888	0.5	0.0	608.2	0.0	333,659	0.1%
Echinops telfairi	None	1	100.0%	35,678	100.0%	35,678	0.51	0.0	587.7	0.0	216,960	0.1%
Oryzias latipes	None	2	100.0%	187,242	100.0%	174,560	0.49	0.0065	493.6	91.9	1,100,227	0.3%
Xenopus laevis	None	1	100.0%	42,315	100.0%	42,315	0.5	0.0	598.3	0.0	261,507	0.1%
Myotis lucifugus	None	2	100.0%	86,317	100.0%	60,599	0.51	0.014	611.4	0.8	548,242	0.1%
Synura petersenii	None	1	100.0%	3,079	100.0%	3,079	0.28	0.0	6675.9	0.0	211,177	0.1%
Dinobryon divergens	None	2	100.0%	245	100.0%	130	0.46	0.0047	9843.1	5405.9	25,683	0.0%
Leishmania braziliensis	None	3	100.0%	174,156	100.0%	167,567	0.48	0.016	511.0	172.3	876,707	0.2%
Rhodothermus marinus	None	1	100.0%	113,491	100.0%	113,491	0.5	0.0	592.5	0.0	690,625	0.2%
Psilocybe semilanceata	None	1	100.0%	135	100.0%	135	0.51	0.0	29958.5	0.0	52,655	0.0%
Dasypus novemcinctus	None	1	100.0%	11,873	100.0%	11,873	0.49	0.0	556.3	0.0	68,077	0.0%
Plasmodium falciparum	None	3	100.0%	69,941	100.0%	24,761	0.5	0.013	601.2	40.1	424,907	0.1%
Debaryomyces hansenii	None	1	100.0%	24,747	100.0%	24,747	0.49	0.0	563.2	0.0	142,922	0.0%
Neurospora crassa	None	2	100.0%	18,978	100.0%	18,792	0.54	0.056	442.4	78.2	103,574	0.0%
Eutrema salsugineum	None	1	100.0%	33,788	100.0%	33,788	0.5	0.0	595.4	0.0	205,695	0.0%
Portunus trituberculatus	None	1	100.0%	174	100.0%	174	0.57	0.0	1016.0	0.0	2,379	0.0%
Schizophyllum commune	None	1	100.0%	202	100.0%	202	0.49	0.0	141.8	0.0	295	0.0%
Heterocephalus glaber	None	1	100.0%	20,485	100.0%	20,485	0.5	0.0	596.6	0.0	128,944	0.0%
Excentrochloris sp. HOKI A 20	None	1	100.0%	101	100.0%	101	0.45	0.0	18936.1	0.0	22,779	0.0%
Caenorhabditis elegans	None	1	100.0%	72,525	100.0%	72,525	0.51	0.0	661.5	0.0	492,212	0.1%
Ustilago maydis	None	2	100.0%	154,957	100.0%	114,119	0.5	0.0059	625.0	12.7	1,005,604	0.2%
Frankia sp. CcI3	None	1	100.0%	6,520	100.0%	6,520	0.5	0.0	600.0	0.0	40,605	0.0%
Achromobacter xylosoxidans	None	7	100.0%	741	100.0%	103	0.5	0.0051	11680.3	3435.7	175,059	0.0%
Pelodiscus sinensis	None	2	100.0%	155,799	100.0%	127,813	0.49	0.0081	597.4	18.6	937,915	0.2%
Esox lucius	None	1	100.0%	49,361	100.0%	49,361	0.49	0.0	608.7	0.0	308,542	0.1%
Penicillium rubens	None	2	100.0%	31,905	100.0%	17,370	0.5	0.0029	612.9	11.6	202,732	0.0%
Strongylocentrotus purpuratus	None	1	100.0%	60,360	100.0%	60,360	0.5	0.0	545.0	0.0	339,284	0.1%
Glycine max	None	1	100.0%	190,574	100.0%	190,574	0.49	0.0	740.3	0.0	1,481,266	0.4%
Tetraodon nigroviridis	None	1	100.0%	38,210	100.0%	38,210	0.5	0.0	637.7	0.0	250,938	0.1%
Thermus thermophilus	None	1	100.0%	94,841	100.0%	94,841	0.49	0.0	563.3	0.0	548,401	0.1%
Raphidocelis subcapitata	None	1	100.0%	106	100.0%	106	0.46	0.0	30425.5	0.0	44,758	0.0%
Cucumis sativus	None	1	100.0%	13,076	100.0%	13,076	0.48	0.0	578.2	0.0	77,383	0.0%
Acidovorax ebreus	None	1	100.0%	18,041	100.0%	18,041	0.5	0.0	571.5	0.0	106,860	0.0%
Edwardsiella tarda	None	1	100.0%	16,331	100.0%	16,331	0.5	0.0	460.7	0.0	78,200	0.0%
Enterobacteria phage phiX174 sensu lato	None	1	100.0%	878	100.0%	878	0.43	0.0	707.2	0.0	6,822	0.0%
Epichloe glyceriae	None	1	100.0%	27,096	100.0%	27,096	0.49	0.0	580.5	0.0	162,734	0.0%
Ixodes scapularis	None	4	100.0%	439	100.0%	112	0.49	0.012	8082.3	4440.0	38,405	0.0%
Arabidopsis thaliana	None	7	100.0%	205,563	100.0%	47,953	0.5	0.016	450.0	208.4	1,194,283	0.3%
Elephantulus edwardii	None	1	100.0%	10,274	100.0%	10,274	0.49	0.0	580.0	0.0	62,092	0.0%
Chlamydomonas reinhardtii	None	3	100.0%	200,068	100.0%	118,596	0.5	0.0046	580.5	17.3	1,213,798	0.3%
Anopheles gambiae	None	1	100.0%	10,206	100.0%	10,206	0.5	0.0	495.6	0.0	52,691	0.0%
Saccharomyces cerevisiae	None	4	100.0%	450	100.0%	115	0.47	0.0062	13747.9	8321.6	71,182	0.0%
Granulibacter bethesdensis	None	2	100.0%	223	100.0%	121	0.55	0.06	575.8	396.7	1,733	0.0%
Pythium carolinianum	None	2	100.0%	208	100.0%	104	0.49	0.0096	3279.8	933.0	7,216	0.0%
Micromonas pusilla	None	1	100.0%	20,909	100.0%	20,909	0.51	0.0	613.1	0.0	132,896	0.0%
Parastagonospora nodorum	None	1	100.0%	3,308	100.0%	3,308	0.51	0.0	551.3	0.0	20,017	0.0%
Trypanosoma brucei	None	2	100.0%	83,590	100.0%	53,867	0.51	0.0098	692.4	73.4	575,131	0.1%
Talaromyces marneffei	None	1	100.0%	3,473	100.0%	3,473	0.54	0.0	765.3	0.0	27,392	0.0%
Danio rerio	None	2	100.0%	15,124	100.0%	14,822	0.51	0.0031	870.1	171.3	108,425	0.0%
Amborella trichopoda	None	1	100.0%	24,942	100.0%	24,942	0.49	0.0	521.0	0.0	138,409	0.0%
