# hypho_ge_1k_vs_nt_1e-10.megablast.blobtools.BlobDB.json.span.phylum.p7.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
all	None	4,758	100.0%	60,978,586	100.0%	35,572	0.49	0.021	705.7	1010.8	389,170,652	93.0%
no-hit	#d3d3d3	4,472	100.0%	44,726,153	100.0%	24,331	0.49	0.02	694.3	934.3	286,297,083	68.4%
Eukaryota-undef	#e2514a	75	100.0%	3,955,851	100.0%	134,865	0.48	0.059	1521.4	3208.2	26,771,926	6.4%
Streptophyta	#fca55d	49	100.0%	3,525,610	100.0%	118,115	0.5	0.0096	589.6	77.9	21,535,496	5.1%
Chordata	#fee999	61	100.0%	3,018,094	100.0%	91,421	0.5	0.0098	622.0	88.5	19,266,408	4.6%
Ascomycota	#edf8a3	32	100.0%	1,728,608	100.0%	97,012	0.5	0.012	578.5	79.1	10,683,472	2.6%
Arthropoda	#a2d9a4	19	100.0%	1,444,324	100.0%	92,181	0.5	0.011	587.1	65.2	8,248,814	2.0%
Chlorophyta	#47a0b3	14	100.0%	509,172	100.0%	50,413	0.49	0.0098	549.2	68.7	2,969,993	0.7%
other	#ffffff	36	100.0%	2,070,774	100.0%	113,491	0.5	0.011	956.1	1899.4	13,397,460	3.2%
Actinobacteria	None	2	100.0%	17,835	100.0%	11,315	0.49	0.0007	664.5	30.2	122,375	0.0%
Bacillariophyta	None	3	100.0%	295,750	100.0%	232,451	0.5	0.0023	576.3	20.3	1,746,149	0.4%
Echinodermata	None	1	100.0%	60,360	100.0%	60,360	0.5	0.0	547.0	0.0	340,875	0.1%
Apicomplexa	None	6	100.0%	355,925	100.0%	250,654	0.5	0.01	592.2	32.3	2,144,372	0.5%
Phaeophyceae	None	1	100.0%	1,176	100.0%	1,176	0.49	0.0	12123.9	0.0	227,019	0.1%
Deinococcus-Thermus	None	1	100.0%	94,841	100.0%	94,841	0.49	0.0	564.4	0.0	549,581	0.1%
Proteobacteria	None	5	100.0%	178,769	100.0%	95,019	0.51	0.015	560.5	35.2	1,058,805	0.3%
Acidobacteria	None	1	100.0%	87,429	100.0%	87,429	0.49	0.0	838.5	0.0	772,021	0.2%
Firmicutes	None	1	100.0%	4,804	100.0%	4,804	0.47	0.0	1804.5	0.0	118,054	0.0%
Bacteria-undef	None	1	100.0%	31,001	100.0%	31,001	0.52	0.0	567.3	0.0	182,329	0.0%
Mollusca	None	1	100.0%	6,406	100.0%	6,406	0.49	0.0	424.3	0.0	29,614	0.0%
Basidiomycota	None	5	100.0%	208,659	100.0%	114,119	0.5	0.0062	641.0	50.5	1,387,308	0.3%
Platyhelminthes	None	2	100.0%	43,849	100.0%	24,852	0.48	0.0002	543.2	0.3	248,801	0.1%
Annelida	None	1	100.0%	207,875	100.0%	207,875	0.49	0.0	600.9	0.0	1,279,730	0.3%
Nematoda	None	2	100.0%	147,708	100.0%	75,183	0.5	0.0087	608.5	56.1	920,963	0.2%
Bacteroidetes	None	2	100.0%	280,926	100.0%	167,435	0.49	0.0043	655.3	60.2	1,920,809	0.5%
Euryarchaeota	None	1	100.0%	47,461	100.0%	47,461	0.49	0.0	715.5	0.0	348,655	0.1%
