# hypho_ge_1k_vs_nt_trans_mito_1e-10.megablast.blobtools.BlobDB.json.span.phylum.p7.bam0.100.bestsum - bam0
Group	colour	count	visible (%)	span	visible(%)	n50	GC	GC (std)	cov_mean	cov_std	read map	read map (%)
all	None	4,758	100.0%	60,978,586	100.0%	35,572	0.49	0.021	705.7	1010.8	389,170,652	93.0%
Eukaryota-undef	#9e0142	2,387	100.0%	50,817,149	100.0%	44,982	0.49	0.02	761.3	1170.3	324,528,487	77.6%
no-hit	#d3d3d3	2,353	100.0%	9,900,507	100.0%	6,662	0.49	0.021	650.4	818.6	63,050,894	15.1%
Chordata	#fca55d	4	100.0%	60,945	100.0%	33,235	0.5	0.0094	569.5	146.7	400,162	0.1%
Echinodermata	#fee999	1	100.0%	60,360	100.0%	60,360	0.5	0.0	547.0	0.0	340,875	0.1%
Ascomycota	#edf8a3	5	100.0%	43,476	100.0%	11,167	0.5	0.011	514.9	77.3	248,400	0.1%
Streptophyta	#a2d9a4	4	100.0%	39,952	100.0%	25,656	0.49	0.016	519.5	137.9	243,459	0.1%
Apicomplexa	#47a0b3	2	100.0%	39,606	100.0%	24,761	0.49	0.0047	594.7	34.8	248,199	0.1%
other	#ffffff	2	100.0%	16,591	100.0%	10,071	0.52	0.021	647.7	47.1	110,176	0.0%
Actinobacteria	None	1	100.0%	6,520	100.0%	6,520	0.5	0.0	694.8	0.0	47,318	0.0%
Proteobacteria	None	1	100.0%	10,071	100.0%	10,071	0.54	0.0	600.6	0.0	62,858	0.0%
