Acanthamoeba castellanii
Albugo laibachii
Allomyces macrogynus
Amphimedon queenslandica
Apis mellifera
Aplanochytrium kerguelense
Aplysia californica
Arabidopsis thaliana
Aspergillus fumigatus
Aureococcus anophagefferens
Batrachochytrium dendrobatidis
Bigelowiella natans
Blastocystis hominis
Bodo saltans
Branchiostoma floridae
Caenorhabditis elegans
Capsaspora owczarzaki
Chlamydomonas reinhardtii
Chondrus crispus
Coprinopsis cinerea
Cryptosporidium parvum
Cyanidioschyzon merolae
Cyanophora paradoxa
Debaryomyces hansenii
Dictyostelium discoideum
Drosophila melanogaster
Ectocarpus siliculosus
Emiliania huxleyi
Entamoeba histolytica
Fonticula alba
Fragilariopsis cylindrus
Galdieria sulphuraria
Gallus gallus
Giardia lamblia
Guillardia theta
Homo sapiens
Hyphochytrium catenoides
Micromonas pusilla
Monosiga brevicollis
Naegleria gruberi
Nannochloropsis gaditana
Nematostella vectensis
Neurospora crassa
Oryza sativa
Ostreococcus tauri
Paramecium tetraurelia
Perkinsus marinus
Phaeodactylum tricornutum
Phytophthora capsici
Phytophthora infestans
Phytophthora parasitica
Phytophthora ramorum
Phytophthora sojae
Plasmodium falciparum
Polysphondylium pallidum
Pythium ultimum
Rhizopus delemar
Saccharomyces cerevisiae
Salpingoeca sp.
Saprolegnia parasitica
Schistosoma mansoni
Schizochytrium aggregatum
Schizochytrium limacinum
Schizosaccharomyces pombe
Sphaeroforma arctica
Spizellomyces punctatus
Taenia solium
Tetrahymena thermophila
Thalassiosira pseudonana
Toxoplasma gondii
Trichomonas vaginalis
Trypanosoma brucei
Ustilago maydis
Volvox carteri
