##
## assembly : /home/cs02gl/blobtools/hypho_ge_1k/hypho_platanus_gapcloser_sorted_ge_1k.fasta
## bam0 : /home/cs02gl/blobtools/hypho/hiseq_ge_1k.bam
## tax0 : /home/cs02gl/blobtools/hypho_ge_1k/hypho_ge_1k_vs_nt_trans_mito_1e-10.megablast
## nodesDB : ../data/nodesDB.txt
## taxrule : bestsum
##
# name	length	GC	N	bam0	species.t	species.s	species.c	species.hits
scaffold1605_cov394	461740	0.4974	1497	484.850672362	Hyphochytrium catenoides	75415.9	0	tax0=Hyphochytrium catenoides:75415.9;
scaffold1201_cov638	390274	0.4947	568	637.581646164	Hyphochytrium catenoides	70664.3	3	tax0=Hyphochytrium catenoides:70664.3|Flexibacter litoralis:121.0|Leishmania mexicana:108.0|Xenopus laevis:87.9;
scaffold114_cov585	321206	0.4937	815	580.512723516	Hyphochytrium catenoides	36833.9	0	tax0=Hyphochytrium catenoides:36833.9;
scaffold1663_cov600	302958	0.4937	828	606.841803197	Hyphochytrium catenoides	32513.3	1	tax0=Hyphochytrium catenoides:32513.3|Pelodiscus sinensis:106.0;
scaffold5087_cov389	275360	0.4674	0	356.983439861	Hyphochytrium catenoides	12182.0	3	tax0=Hyphochytrium catenoides:12182.0|Citrus sinensis:182.0|Citrus clementina:182.0|Petroselinum crispum:130.0;
scaffold11_cov589	271215	0.4909	435	580.237473225	Hyphochytrium catenoides	57510.9	0	tax0=Hyphochytrium catenoides:57510.9;
scaffold219_cov609	265309	0.4976	377	613.64974786	Hyphochytrium catenoides	48438.0	0	tax0=Hyphochytrium catenoides:48438.0;
scaffold118_cov598	260691	0.4946	816	599.524790765	Hyphochytrium catenoides	18644.0	0	tax0=Hyphochytrium catenoides:18644.0;
scaffold5419_cov386	254883	0.4702	0	349.667631815	Hyphochytrium catenoides	17510.0	2	tax0=Hyphochytrium catenoides:17510.0|Lepadella patella:338.0|Siphloplecton interlineatum:237.0;
scaffold1646_cov577	250654	0.4948	480	583.02569012	Hyphochytrium catenoides	36792.0	1	tax0=Hyphochytrium catenoides:36792.0|Neospora caninum:122.0;
scaffold1081_cov654	246743	0.5008	289	649.32046954	Hyphochytrium catenoides	57688.5	2	tax0=Hyphochytrium catenoides:57688.5|Phytophthora infestans:175.8|Clavispora lusitaniae:137.0;
scaffold34_cov582	237285	0.4906	365	578.558817322	Hyphochytrium catenoides	45892.2	4	tax0=Hyphochytrium catenoides:45892.2|Batrachochytrium dendrobatidis:187.0|Metaseiulus occidentalis:115.0|Phaeodactylum tricornutum:104.0|Chaetomium thermophilum:104.0;
scaffold814_cov560	232451	0.4956	434	570.996504566	Hyphochytrium catenoides	32273.0	1	tax0=Hyphochytrium catenoides:32273.0|Phytophthora infestans:87.9;
scaffold1212_cov657	226821	0.4996	522	654.210106982	Hyphochytrium catenoides	32193.1	0	tax0=Hyphochytrium catenoides:32193.1;
scaffold634_cov547	215150	0.497	566	564.835677404	Hyphochytrium catenoides	31856.0	0	tax0=Hyphochytrium catenoides:31856.0;
scaffold1148_cov610	209492	0.4973	843	616.838264262	Hyphochytrium catenoides	23553.5	0	tax0=Hyphochytrium catenoides:23553.5;
scaffold270_cov608	207875	0.4911	247	600.889398347	Hyphochytrium catenoides	50907.1	5	tax0=Hyphochytrium catenoides:50907.1|Platynereis dumerilii:328.0|Monosiga brevicollis:167.0|Uncinocarpus reesii:99.0|Prevotella denticola:97.1|Thalassiosira pseudonana:87.9;
scaffold383_cov645	190574	0.4929	1178	769.503490042	Hyphochytrium catenoides	23468.3	2	tax0=Hyphochytrium catenoides:23468.3|Citrus clementina:208.0|Ornithorhynchus anatinus:126.0;
scaffold1321_cov603	188764	0.4919	411	590.509989222	Hyphochytrium catenoides	36302.0	3	tax0=Hyphochytrium catenoides:36302.0|Aspergillus clavatus:99.0|Neurospora crassa:97.1|Sordaria macrospora:91.6;
scaffold1067_cov601	188429	0.4925	407	587.265596579	Hyphochytrium catenoides	38760.1	1	tax0=Hyphochytrium catenoides:38760.1|Setaria italica:348.0;
scaffold7154_cov638	178336	0.4912	165	633.524917074	Hyphochytrium catenoides	19490.9	4	tax0=Hyphochytrium catenoides:19490.9|Arabidopsis thaliana:306.0|Cavia porcellus:156.0|Anolis carolinensis:135.0|Chinchilla lanigera:95.3;
scaffold744_cov586	174560	0.495	296	587.870105128	Hyphochytrium catenoides	44767.0	1	tax0=Hyphochytrium catenoides:44767.0|Dicentrarchus labrax:150.0;
scaffold890_cov399	167567	0.5061	563	488.805681301	Hyphochytrium catenoides	48851.1	6	tax0=Hyphochytrium catenoides:48851.1|Leishmania braziliensis:762.0|Physcomitrella patens:448.0|Nannochloropsis gaditana:425.0|Sporisorium reilianum:364.0|Aedes aegypti:328.0|Trichoplax adhaerens:211.0;
scaffold1794_cov700	167435	0.4903	582	715.420573798	Hyphochytrium catenoides	30593.1	4	tax0=Hyphochytrium catenoides:30593.1|Owenweeksia hongkongensis:148.0|Synechococcus sp. PCC 7502:102.0|Capsella rubella:87.9|Galdieria sulphuraria:87.9;
scaffold546_cov597	166577	0.4909	221	601.203797879	Hyphochytrium catenoides	16894.0	0	tax0=Hyphochytrium catenoides:16894.0;
scaffold408_cov626	165553	0.4915	191	625.042639784	Hyphochytrium catenoides	34745.0	5	tax0=Hyphochytrium catenoides:34745.0|Tetrahymena thermophila:460.0|Jaculus jaculus:220.0|Moneuplotes crassus:115.0|Columba livia:115.0|Salmo salar:104.0;
scaffold362_cov596	163653	0.4958	247	614.530372202	Hyphochytrium catenoides	31036.0	0	tax0=Hyphochytrium catenoides:31036.0;
scaffold147_cov610	162870	0.4979	128	598.760510501	Hyphochytrium catenoides	23607.0	0	tax0=Hyphochytrium catenoides:23607.0;
scaffold6213_cov616	155668	0.4975	506	620.978487001	Hyphochytrium catenoides	12370.3	0	tax0=Hyphochytrium catenoides:12370.3;
scaffold759_cov617	154960	0.4951	321	624.701892795	Hyphochytrium catenoides	15209.7	0	tax0=Hyphochytrium catenoides:15209.7;
scaffold1572_cov586	154916	0.4926	386	580.967702064	Hyphochytrium catenoides	22204.0	6	tax0=Hyphochytrium catenoides:22204.0|Xiphophorus maculatus:1020.0|Capsella rubella:968.0|Drosophila sechellia:880.0|Drosophila yakuba:870.0|Drosophila erecta:817.0|Caenorhabditis remanei:219.0;
scaffold170_cov572	154275	0.4982	134	607.817173886	Hyphochytrium catenoides	28936.0	0	tax0=Hyphochytrium catenoides:28936.0;
scaffold2335_cov610	153848	0.4948	283	608.120125028	Hyphochytrium catenoides	29312.0	0	tax0=Hyphochytrium catenoides:29312.0;
scaffold217_cov616	150103	0.4978	296	617.201011969	Hyphochytrium catenoides	22494.0	8	tax0=Hyphochytrium catenoides:22494.0|Phytophthora capsici:274.0|Citrus sinensis:158.0|Coprinopsis cinerea:130.0|Pertusaria dactylina:128.0|Guillardia theta:110.0|Amphimedon queenslandica:110.0|Capsella rubella:104.0|Chlamydomonas reinhardtii:102.0;
scaffold4953_cov628	148538	0.4936	288	635.770745363	Hyphochytrium catenoides	10830.0	1	tax0=Hyphochytrium catenoides:10830.0|Phytophthora infestans:115.0;
scaffold371_cov591	147397	0.499	379	592.726938198	Hyphochytrium catenoides	14353.8	0	tax0=Hyphochytrium catenoides:14353.8;
scaffold191_cov584	147334	0.4995	594	593.002909909	Hyphochytrium catenoides	20623.0	0	tax0=Hyphochytrium catenoides:20623.0;
scaffold47_cov595	146090	0.4888	118	584.972590634	Hyphochytrium catenoides	30483.0	4	tax0=Hyphochytrium catenoides:30483.0|Scaphiopus couchii:257.0|Scaphiopus holbrookii:250.0|Schistosoma mansoni:115.0|Oikopleura dioica:108.0;
scaffold655_cov589	143693	0.4896	262	581.15234503	Hyphochytrium catenoides	34195.3	1	tax0=Hyphochytrium catenoides:34195.3|Nasonia vitripennis:100.0;
scaffold41884_cov618	140381	0.4945	340	635.043694347	Hyphochytrium catenoides	24103.7	13	tax0=Hyphochytrium catenoides:24103.7|Albugo laibachii:940.0|Melopsittacus undulatus:378.0|Oryctolagus cuniculus:267.0|Phytophthora parasitica:240.0|Leishmania major:232.0|Crithidia sp. ATCC 30255:226.0|Trypanosoma brucei:226.0|Gallus gallus:172.0|Ptyssoptera sp. Ptys:167.0|Leishmania braziliensis:117.0|Lethenteron reissneri:117.0|Leishmania donovani:115.0|Leishmania mexicana:113.0;
scaffold41610_cov575	138775	0.4941	598	590.878431287	Hyphochytrium catenoides	21771.6	1	tax0=Hyphochytrium catenoides:21771.6|Guillardia theta:95.3;
scaffold1305_cov602	138526	0.5028	306	649.956598177	Hyphochytrium catenoides	40701.6	0	tax0=Hyphochytrium catenoides:40701.6;
scaffold1821_cov724	134865	0.4947	179	723.141247049	Hyphochytrium catenoides	22336.1	1	tax0=Hyphochytrium catenoides:22336.1|Naegleria gruberi:106.0;
scaffold466_cov574	134761	0.5004	248	585.359474549	Hyphochytrium catenoides	32763.0	0	tax0=Hyphochytrium catenoides:32763.0;
scaffold13287_cov591	134156	0.4944	170	576.890428851	Hyphochytrium catenoides	64389.4	0	tax0=Hyphochytrium catenoides:64389.4;
scaffold582_cov641	132204	0.4962	242	643.801336748	Hyphochytrium catenoides	33627.0	7	tax0=Hyphochytrium catenoides:33627.0|Ricinus communis:312.0|Pericallis appendiculata:183.2|Hyacinthus orientalis:172.0|Chlamydomonas reinhardtii:148.0|Suberites domuncula:143.0|Phytophthora infestans:111.0|Vitis vinifera:86.1;
scaffold905_cov588	131031	0.4928	328	593.484013374	Hyphochytrium catenoides	20841.9	7	tax0=Hyphochytrium catenoides:20841.9|Aspergillus nidulans:711.0|Valsa mali:185.0|Trichoderma reesei:132.0|Solanum lycopersicum:128.0|Aspergillus oryzae:128.0|Aspergillus flavus:128.0|Aspergillus niger:128.0;
scaffold2260_cov601	129163	0.4996	242	592.891577012	Hyphochytrium catenoides	20842.0	1	tax0=Hyphochytrium catenoides:20842.0|Oryza sativa:467.5;
scaffold1462_cov587	128902	0.4959	351	603.190873661	Hyphochytrium catenoides	27658.3	16	tax0=Hyphochytrium catenoides:27658.3|Phytophthora infestans:1519.0|Phytophthora capsici:1229.0|Thalassiosira pseudonana:876.0|Cryptococcus neoformans:693.0|Nasonia vitripennis:375.0|Coccidioides immitis:311.0|Dictyostelium fasciculatum:267.0|Microsporum gypseum:263.0|Aspergillus oryzae:234.0|Myceliophthora thermophila:219.0|Eremothecium gossypii:178.0|Arthroderma otae:126.0|Aspergillus flavus:117.0|Hordeum vulgare:100.0|Colibri coruscans:97.1|Alcedo leucogaster:86.1;
scaffold1800_cov567	128362	0.4894	59	578.322486614	Hyphochytrium catenoides	34609.9	0	tax0=Hyphochytrium catenoides:34609.9;
scaffold3679_cov586	127813	0.4867	100	581.339260686	Hyphochytrium catenoides	15288.8	0	tax0=Hyphochytrium catenoides:15288.8;
scaffold3049_cov660	126973	0.494	75	643.215771722	Hyphochytrium catenoides	22739.0	14	tax0=Hyphochytrium catenoides:22739.0|Arabidopsis thaliana:517.0|Oryza sativa:321.0|Trypanosoma brucei:200.0|Solanum lycopersicum:115.0|Lupinus luteus:115.0|Leishmania mexicana:111.0|Leishmania tarentolae:106.0|Leishmania major:106.0|Lotus japonicus:106.0|Vitis vinifera:104.0|Leishmania donovani:102.0|Leishmania infantum:102.0|Brassica napus:100.0|Podocoryna carnea:86.1;
scaffold2055_cov592	123753	0.4917	322	595.65571858	Hyphochytrium catenoides	13233.0	0	tax0=Hyphochytrium catenoides:13233.0;
scaffold2105_cov602	123452	0.4941	136	589.007671348	Hyphochytrium catenoides	18838.0	0	tax0=Hyphochytrium catenoides:18838.0;
scaffold1607_cov564	121401	0.4905	600	588.485550616	Hyphochytrium catenoides	12346.0	0	tax0=Hyphochytrium catenoides:12346.0;
scaffold618_cov589	121024	0.4963	272	625.36709951	Hyphochytrium catenoides	16094.1	2	tax0=Hyphochytrium catenoides:16094.1|uncultured dinoflagellate:435.0|Drosophila yakuba:87.9;
